trial,pic_id,act_x,act_y,est_x,est_y,correct,dist,rt,day
1,20,7.54E+02,7.38E+02,769,622,1,1.17E+02,6.94E+00,1
2,40,1.30E+03,1.46E+02,1410,291,1,1.85E+02,2.52E+00,1
3,21,1.21E+03,5.68E+02,1346,174,0,4.15E+02,3.63E+00,1
4,45,1.25E+03,1.77E+02,1195,622,0,4.49E+02,3.48E+00,1
5,47,5.47E+02,1.16E+02,1153,573,0,7.59E+02,1.30E+01,1
6,33,1.26E+03,1.56E+02,1394,779,0,6.38E+02,6.60E+00,1
7,13,1.28E+03,7.17E+02,659,729,0,6.22E+02,8.35E+00,1
8,15,1.41E+03,1.35E+02,809,646,0,7.91E+02,1.63E+01,1
9,1,1.27E+03,2.48E+02,510,209,0,7.63E+02,3.20E+00,1
10,11,9.65E+02,9.01E+02,951,179,0,7.22E+02,2.50E+00,1
11,41,7.26E+02,7.65E+02,1364,952,0,6.65E+02,3.95E+00,1
12,18,7.25E+02,7.32E+02,1208,174,0,7.38E+02,3.57E+00,1
13,46,1.00E+03,5.56E+02,735,306,0,3.64E+02,9.73E+00,1
14,16,9.14E+02,8.35E+02,649,93,0,7.88E+02,3.50E+00,1
15,34,5.79E+02,7.12E+02,644,412,0,3.07E+02,1.68E+01,1
16,26,1.36E+03,9.55E+02,1368,171,0,7.84E+02,2.46E+01,1
17,6,5.75E+02,1.35E+02,1233,412,0,7.14E+02,5.32E+00,1
18,22,5.65E+02,6.77E+02,1476,946,0,9.50E+02,3.70E+00,1
19,14,4.54E+02,2.22E+02,1414,168,0,9.62E+02,2.85E+00,1
20,32,9.86E+02,1.54E+02,786,414,0,3.28E+02,7.82E+00,1
21,31,6.76E+02,3.18E+02,1273,757,0,7.41E+02,6.00E+00,1
22,17,8.19E+02,5.86E+02,650,734,0,2.24E+02,8.40E+00,1
23,12,8.73E+02,4.26E+02,825,846,0,4.23E+02,1.91E+01,1
24,48,1.26E+03,9.33E+02,1071,204,0,7.53E+02,1.98E+00,1
25,35,1.26E+03,9.33E+02,528,183,0,1.05E+03,2.24E+01,2
26,39,5.47E+02,1.16E+02,1271,403,0,7.79E+02,5.48E+00,2
27,7,8.73E+02,4.26E+02,1279,923,0,6.42E+02,5.98E+00,2
28,4,9.65E+02,9.01E+02,1404,362,0,6.95E+02,2.98E+00,2
29,2,9.14E+02,8.35E+02,1413,381,0,6.74E+02,4.65E+00,2
30,24,7.54E+02,7.38E+02,649,381,0,3.72E+02,1.18E+01,2
31,8,1.28E+03,7.17E+02,806,697,0,4.76E+02,6.00E+00,2
32,5,5.75E+02,1.35E+02,1408,384,0,8.69E+02,2.98E+00,2
33,25,1.21E+03,5.68E+02,1278,727,1,1.72E+02,1.12E+01,2
34,23,8.19E+02,5.86E+02,694,305,0,3.08E+02,8.37E+00,2
35,29,6.76E+02,3.18E+02,1447,739,0,8.78E+02,8.45E+00,2
36,43,7.26E+02,7.65E+02,1165,137,0,7.66E+02,1.48E+01,2
37,18,1.36E+03,9.55E+02,1226,174,0,7.93E+02,2.37E+00,2
38,37,1.00E+03,5.56E+02,748,366,0,3.15E+02,7.67E+00,2
39,42,1.25E+03,1.77E+02,866,625,0,5.92E+02,1.36E+01,2
40,3,1.41E+03,1.35E+02,1388,364,0,2.30E+02,2.90E+00,2
41,36,5.79E+02,7.12E+02,374,349,0,4.17E+02,8.13E+00,2
42,28,5.65E+02,6.77E+02,1272,796,0,7.17E+02,1.40E+01,2
43,27,9.86E+02,1.54E+02,1186,158,0,2.00E+02,6.57E+00,2
44,10,4.54E+02,2.22E+02,1188,947,0,1.03E+03,7.07E+00,2
45,38,1.26E+03,1.56E+02,658,371,0,6.37E+02,7.48E+00,2
46,30,7.25E+02,7.32E+02,815,398,0,3.46E+02,1.05E+01,2
47,9,1.27E+03,2.48E+02,811,110,0,4.81E+02,1.04E+01,2
48,44,1.30E+03,1.46E+02,667,403,0,6.79E+02,1.68E+01,2
