trial,pic_id,act_x,act_y,est_x,est_y,correct,dist,rt,day
1,48,8.86E+02,1.87E+02,478,830,0,7.61E+02,2.49E+00,1
2,46,1.24E+03,3.26E+02,1338,845,0,5.29E+02,2.85E+00,1
3,45,8.90E+02,8.75E+02,1349,216,0,8.03E+02,2.37E+00,1
4,13,1.22E+03,7.15E+02,640,175,0,7.96E+02,5.85E+00,1
5,6,7.73E+02,3.76E+02,825,559,1,1.90E+02,6.17E+00,1
6,32,1.27E+03,6.43E+02,731,948,0,6.15E+02,6.13E+00,1
7,33,5.24E+02,3.94E+02,1209,944,0,8.79E+02,2.78E+00,1
8,21,1.04E+03,4.70E+02,650,976,0,6.38E+02,2.53E+00,1
9,1,5.94E+02,5.84E+02,1130,643,0,5.39E+02,3.95E+00,1
10,34,1.06E+03,4.71E+02,1075,449,1,2.78E+01,5.02E+00,1
11,20,9.81E+02,9.34E+02,451,382,0,7.66E+02,3.32E+00,1
12,31,8.05E+02,6.64E+02,849,971,0,3.10E+02,2.28E+00,1
13,12,9.18E+02,4.09E+02,965,654,0,2.49E+02,1.88E+00,1
14,18,8.01E+02,5.64E+02,726,634,1,1.03E+02,4.72E+00,1
15,17,9.59E+02,1.40E+02,849,688,0,5.59E+02,6.50E+00,1
16,14,1.14E+03,6.45E+02,1097,431,0,2.19E+02,2.30E+00,1
17,11,6.09E+02,2.13E+02,1278,703,0,8.29E+02,3.53E+00,1
18,41,6.42E+02,4.07E+02,1316,335,0,6.78E+02,2.20E+00,1
19,15,9.71E+02,7.73E+02,720,523,0,3.54E+02,2.35E+00,1
20,22,1.43E+03,3.72E+02,464,698,0,1.02E+03,4.28E+00,1
21,47,7.91E+02,4.70E+02,1336,731,0,6.05E+02,2.23E+00,1
22,40,8.83E+02,9.61E+02,1327,239,0,8.48E+02,5.35E+00,1
23,26,8.72E+02,4.41E+02,439,211,0,4.90E+02,2.37E+00,1
24,16,1.05E+03,4.78E+02,987,518,1,7.51E+01,5.08E+00,1
25,43,8.90E+02,8.75E+02,1302,324,0,6.88E+02,2.32E+00,2
26,38,6.42E+02,4.07E+02,1335,195,0,7.24E+02,2.67E+00,2
27,9,1.14E+03,6.45E+02,874,550,0,2.85E+02,6.75E+00,2
28,36,1.06E+03,4.71E+02,1287,163,0,3.84E+02,2.80E+00,2
29,7,9.71E+02,7.73E+02,842,559,0,2.50E+02,3.77E+00,2
30,42,5.24E+02,3.94E+02,377,307,1,1.70E+02,4.18E+00,2
31,35,1.24E+03,3.26E+02,519,139,0,7.40E+02,6.00E+00,2
32,4,1.05E+03,4.78E+02,968,132,0,3.56E+02,3.75E+00,2
33,10,1.22E+03,7.15E+02,763,365,0,5.79E+02,8.28E+00,2
34,29,8.05E+02,6.64E+02,772,364,0,3.02E+02,3.15E+00,2
35,18,1.43E+03,3.72E+02,757,696,0,7.46E+02,2.20E+00,2
36,28,9.81E+02,9.34E+02,1374,193,0,8.39E+02,2.18E+00,2
37,30,9.59E+02,1.40E+02,480,834,0,8.44E+02,3.15E+00,2
38,3,6.09E+02,2.13E+02,946,694,0,5.87E+02,4.87E+00,2
39,5,9.18E+02,4.09E+02,1418,400,0,5.00E+02,2.30E+00,2
40,25,1.27E+03,6.43E+02,1513,259,0,4.57E+02,2.28E+00,2
41,39,8.83E+02,9.61E+02,386,261,0,8.59E+02,4.20E+00,2
42,24,8.72E+02,4.41E+02,434,339,0,4.49E+02,4.22E+00,2
43,8,7.73E+02,3.76E+02,797,759,0,3.83E+02,2.90E+00,2
44,23,8.01E+02,5.64E+02,1392,268,0,6.61E+02,4.13E+00,2
45,44,7.91E+02,4.70E+02,962,702,0,2.88E+02,4.63E+00,2
46,37,8.86E+02,1.87E+02,770,386,0,2.30E+02,4.77E+00,2
47,2,5.94E+02,5.84E+02,857,529,0,2.68E+02,1.26E+01,2
48,27,1.04E+03,4.70E+02,1405,172,0,4.73E+02,5.40E+00,2
