trial,pic_id,act_x,act_y,est_x,est_y,correct,dist,rt,day
1,22,8.28E+02,8.29E+02,496,882,0,3.36E+02,3.69E+00,1
1,16,1.26E+03,3.45E+02,1294,383,1,5.34E+01,3.47E+00,1
1,31,9.09E+02,3.92E+02,755,336,1,1.63E+02,3.20E+00,1
1,11,9.40E+02,1.92E+02,891,348,1,1.63E+02,2.78E+00,1
1,46,1.15E+03,7.92E+02,1408,750,0,2.66E+02,3.92E+00,1
1,14,1.31E+03,5.15E+02,767,711,0,5.74E+02,4.28E+00,1
1,41,5.87E+02,7.42E+02,617,896,1,1.57E+02,3.62E+00,1
1,26,9.59E+02,7.19E+02,645,721,0,3.14E+02,3.75E+00,1
1,48,9.63E+02,3.43E+02,1043,382,1,8.86E+01,2.00E+00,1
1,40,5.51E+02,1.68E+02,1166,284,0,6.25E+02,2.48E+00,1
1,34,1.24E+03,1.43E+02,646,358,0,6.34E+02,3.50E+00,1
1,6,1.32E+03,4.59E+02,1294,404,1,5.86E+01,9.12E+00,1
1,20,4.68E+02,3.84E+02,1319,289,0,8.57E+02,3.22E+00,1
1,21,5.92E+02,6.46E+02,543,171,0,4.78E+02,2.58E+00,1
1,33,1.34E+03,9.63E+02,1409,809,1,1.69E+02,2.18E+00,1
1,18,1.06E+03,8.78E+02,1049,346,0,5.32E+02,3.78E+00,1
1,13,6.91E+02,7.22E+02,1281,393,0,6.75E+02,4.83E+00,1
1,45,1.06E+03,4.01E+02,1391,916,0,6.13E+02,1.93E+00,1
1,47,5.55E+02,7.91E+02,670,897,1,1.56E+02,5.97E+00,1
1,17,5.92E+02,8.62E+02,883,680,0,3.43E+02,3.77E+00,1
1,1,9.23E+02,1.19E+02,1057,915,0,8.07E+02,2.10E+00,1
1,15,1.19E+03,4.47E+02,752,718,0,5.19E+02,2.03E+00,1
1,32,1.23E+03,5.56E+02,1028,271,0,3.51E+02,2.17E+00,1
1,12,8.89E+02,6.15E+02,954,23,0,5.96E+02,1.72E+00,1
1,24,5.92E+02,6.46E+02,855,757,0,2.85E+02,7.93E+00,2
1,23,1.06E+03,8.78E+02,1290,172,0,7.43E+02,1.75E+00,2
1,28,1.23E+03,5.56E+02,510,691,0,7.35E+02,2.22E+00,2
1,43,5.87E+02,7.42E+02,861,287,0,5.31E+02,4.55E+00,2
1,4,1.19E+03,4.47E+02,1024,637,0,2.56E+02,6.08E+00,2
1,37,1.34E+03,9.63E+02,853,281,0,8.37E+02,2.63E+00,2
1,30,8.28E+02,8.29E+02,675,848,1,1.54E+02,1.62E+00,2
1,2,8.89E+02,6.15E+02,796,306,0,3.23E+02,6.88E+00,2
1,35,5.51E+02,1.68E+02,1085,366,0,5.69E+02,3.67E+00,2
1,39,1.24E+03,1.43E+02,565,702,0,8.79E+02,3.47E+00,2
1,29,4.68E+02,3.84E+02,503,476,1,9.81E+01,1.08E+01,2
1,38,1.06E+03,4.01E+02,627,259,0,4.54E+02,6.28E+00,2
1,42,5.55E+02,7.91E+02,1243,804,0,6.88E+02,2.47E+00,2
1,44,1.15E+03,7.92E+02,1312,575,0,2.73E+02,3.98E+00,2
1,8,1.31E+03,5.15E+02,570,842,0,8.06E+02,2.70E+00,2
1,36,9.63E+02,3.43E+02,1408,390,0,4.47E+02,2.83E+00,2
1,5,6.91E+02,7.22E+02,1410,277,0,8.45E+02,2.28E+00,2
1,27,5.92E+02,8.62E+02,1153,887,0,5.62E+02,2.77E+00,2
1,9,1.26E+03,3.45E+02,1032,818,0,5.23E+02,4.83E+00,2
1,7,9.40E+02,1.92E+02,886,594,0,4.05E+02,5.48E+00,2
1,25,9.59E+02,7.19E+02,509,700,0,4.50E+02,3.68E+00,2
1,10,9.23E+02,1.19E+02,951,264,1,1.47E+02,4.92E+00,2
1,3,1.32E+03,4.59E+02,1413,257,0,2.24E+02,4.27E+00,2
1,18,9.09E+02,3.92E+02,655,373,0,2.54E+02,3.83E+00,2
